,UserID,role,Organization,start,end,term,Photo,Gender,Death,Twitter,Homepage,Facebook,Instagram,Mail,date_brith,place_brith,url,full,aliases
0,2307,Member,Group of the European People's Party (Christian Democrats) and European Democrats,1999-07-20,2004-07-19,5,https://www.europarl.europa.eu/mepphoto/2307.jpg,M,,,,,,,1948-10-03T00:00:00,Gries,http://www.europarl.europa.eu/meps/en/2307/name/cv,Hubert PIRKER,"['Hubert PIRKER', 'PIRKER', 'PIRKER Hubert']"
1,2307,Member,Group of the European People's Party (Christian Democrats) and European Democrats,2006-02-01,2009-07-13,6,https://www.europarl.europa.eu/mepphoto/2307.jpg,M,,,,,,,1948-10-03T00:00:00,Gries,http://www.europarl.europa.eu/meps/en/2307/name/cv,Hubert PIRKER,"['Hubert PIRKER', 'PIRKER', 'PIRKER Hubert']"
2,2307,Member,Group of the European People's Party (Christian Democrats),2011-03-31,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/2307.jpg,M,,,,,,,1948-10-03T00:00:00,Gries,http://www.europarl.europa.eu/meps/en/2307/name/cv,Hubert PIRKER,"['Hubert PIRKER', 'PIRKER', 'PIRKER Hubert']"
3,111496,Member,Group of the European People's Party (Christian Democrats),2012-01-13,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/111496.jpg,F,,,,,,,1972-05-24T00:00:00,Badajoz,http://www.europarl.europa.eu/meps/en/111496/name/cv,María Auxiliadora CORREA ZAMORA,"['CORREA ZAMORA', 'CORREA ZAMORA María Auxiliadora', 'María Auxiliadora CORREA ZAMORA', 'maría auxiliadora correa']"
4,110987,Member,Group of the European People's Party (Christian Democrats),2011-12-01,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/110987.jpg,M,,,,,,,1940-09-03T00:00:00,Cosenza,http://www.europarl.europa.eu/meps/en/110987/name/cv,Gino TREMATERRA,"['Gino TREMATERRA', 'TREMATERRA', 'TREMATERRA Gino']"
5,1965,Member,"Group of the European Liberal, Democrat and Reform Party",1999-07-20,2004-07-19,5,https://www.europarl.europa.eu/mepphoto/1965.jpg,M,,,,,,,1943-10-03T00:00:00,Diever,http://www.europarl.europa.eu/meps/en/1965/name/cv,Jan MULDER,"['Jan MULDER', 'MULDER', 'MULDER Jan']"
6,1965,Member,Group of the Alliance of Liberals and Democrats for Europe,2004-07-20,2009-07-13,6,https://www.europarl.europa.eu/mepphoto/1965.jpg,M,,,,,,,1943-10-03T00:00:00,Diever,http://www.europarl.europa.eu/meps/en/1965/name/cv,Jan MULDER,"['Jan MULDER', 'MULDER', 'MULDER Jan']"
7,1965,Member,Group of the Alliance of Liberals and Democrats for Europe,2010-06-22,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/1965.jpg,M,,,,,,,1943-10-03T00:00:00,Diever,http://www.europarl.europa.eu/meps/en/1965/name/cv,Jan MULDER,"['Jan MULDER', 'MULDER', 'MULDER Jan']"
8,39321,Member,Socialist Group in the European Parliament,2007-09-27,2009-07-13,6,https://www.europarl.europa.eu/mepphoto/39321.jpg,M,,,,,,,1946-11-10T00:00:00,Llíria (Valencia),http://www.europarl.europa.eu/meps/en/39321/name/cv,Vicente Miguel GARCÉS RAMÓN,"['GARCÉS RAMÓN', 'GARCÉS RAMÓN Vicente Miguel', 'Vicente Miguel GARCÉS RAMÓN']"
9,39321,Member,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2011-12-01,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/39321.jpg,M,,,,,,,1946-11-10T00:00:00,Llíria (Valencia),http://www.europarl.europa.eu/meps/en/39321/name/cv,Vicente Miguel GARCÉS RAMÓN,"['GARCÉS RAMÓN', 'GARCÉS RAMÓN Vicente Miguel', 'Vicente Miguel GARCÉS RAMÓN']"
