,UserID,role,Organization,Party,party_share,start,end,term,Photo,Gender,Death,Twitter,Homepage,Facebook,Instagram,Mail,date_brith,place_brith,url,full,aliases
2,2307,Member,Group of the European People's Party (Christian Democrats),EPP,35.77,2011-03-31,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/2307.jpg,M,,,,,,,1948-10-03 0:00:00,Gries,http://www.europarl.europa.eu/meps/en/2307/name/cv,Hubert PIRKER,"['Hubert PIRKER', 'PIRKER', 'PIRKER Hubert']"
3,111496,Member,Group of the European People's Party (Christian Democrats),EPP,35.77,2012-01-13,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/111496.jpg,F,,,,,,,1972-05-24 0:00:00,Badajoz,http://www.europarl.europa.eu/meps/en/111496/name/cv,María Auxiliadora CORREA ZAMORA,"['CORREA ZAMORA', 'CORREA ZAMORA María Auxiliadora', 'María Auxiliadora CORREA ZAMORA', 'maría auxiliadora correa']"
4,110987,Member,Group of the European People's Party (Christian Democrats),EPP,35.77,2011-12-01,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/110987.jpg,M,,,,,,,1940-09-03 0:00:00,Cosenza,http://www.europarl.europa.eu/meps/en/110987/name/cv,Gino TREMATERRA,"['Gino TREMATERRA', 'TREMATERRA', 'TREMATERRA Gino']"
7,1965,Member,Group of the Alliance of Liberals and Democrats for Europe,ALDE,11.1,2010-06-22,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/1965.jpg,M,,,,,,,1943-10-03 0:00:00,Diever,http://www.europarl.europa.eu/meps/en/1965/name/cv,Jan MULDER,"['Jan MULDER', 'MULDER', 'MULDER Jan']"
9,39321,Member,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,25.46,2011-12-01,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/39321.jpg,M,,,,,,,1946-11-10 0:00:00,Llíria (Valencia),http://www.europarl.europa.eu/meps/en/39321/name/cv,Vicente Miguel GARCÉS RAMÓN,"['GARCÉS RAMÓN', 'GARCÉS RAMÓN Vicente Miguel', 'Vicente Miguel GARCÉS RAMÓN']"
10,108570,Member,Group of the Greens/European Free Alliance,Greens-EFA,7.571,2011-12-01,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/108570.jpg,F,,,,,,,1987-08-30 0:00:00,Uppsala,http://www.europarl.europa.eu/meps/en/108570/name/cv,Amelia ANDERSDOTTER,"['ANDERSDOTTER', 'ANDERSDOTTER Amelia', 'Amelia ANDERSDOTTER']"
11,110365,Member,Group of the Alliance of Liberals and Democrats for Europe,ALDE,11.1,2011-10-21,2012-01-26,7,https://www.europarl.europa.eu/mepphoto/110365.jpg,M,,,,,,,1951-12-27 0:00:00,Händene,http://www.europarl.europa.eu/meps/en/110365/name/cv,Kent JOHANSSON,"['JOHANSSON', 'JOHANSSON Kent', 'Kent JOHANSSON']"
12,110365,Member of the Bureau,Group of the Alliance of Liberals and Democrats for Europe,ALDE,11.1,2012-01-27,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/110365.jpg,M,,,,,,,1951-12-27 0:00:00,Händene,http://www.europarl.europa.eu/meps/en/110365/name/cv,Kent JOHANSSON,"['JOHANSSON', 'JOHANSSON Kent', 'Kent JOHANSSON']"
13,105849,Member,Group of the European People's Party (Christian Democrats),EPP,35.77,2011-01-01,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/105849.jpg,F,,,,,,,1961-12-28 0:00:00,Chaumont en Vexin,http://www.europarl.europa.eu/meps/en/105849/name/cv,Agnès LE BRUN,"['Agnès LE BRUN', 'LE BRUN', 'LE BRUN Agnès']"
16,5537,Member,Group of the European People's Party (Christian Democrats),EPP,35.77,2012-01-13,2014-06-30,7,https://www.europarl.europa.eu/mepphoto/5537.jpg,M,,,,,,,1952-01-04 0:00:00,Ciudad Real,http://www.europarl.europa.eu/meps/en/5537/name/cv,Juan Andrés NARANJO ESCOBAR,"['Juan Andrés NARANJO ESCOBAR', 'NARANJO ESCOBAR', 'NARANJO ESCOBAR Juan Andrés']"
